name,address
OWNDAYS 微風台北車站店,台北市中正區北平西路3號 微風台北車站1F
OWNDAYS 京站店,台北市大同區承德路一段1號 B1
OWNDAYS 忠孝敦化店,台北市大安區忠孝東路四段205巷20號
OWNDAYS 台北忠孝SOGO店,台北市大安區忠孝東路四段45號 B1
OWNDAYS 誠品信義店,台北市信義區松高路11號 B2
OWNDAYS 新光三越信義A11店,台北市信義區松壽路11號 B1
OWNDAYS 台北天母SOGO店,台北市士林區中山北路六段77號 2F
OWNDAYS 京站小碧潭店,新北市新店區中興路三段1號 1F
OWNDAYS 台茂店,桃園市蘆竹區南崁路一段112號 台茂購物中心
OWNDAYS 大江購物中心店,桃園市中壢區中園路二段501號 B1
OWNDAYS 內壢家樂福店,桃園市中壢區中華路一段450號 1F
OWNDAYS 經國家樂福店,桃園市桃園區經國路369號 B1
OWNDAYS 桃園ATT店,桃園市桃園區中正路47號 1F
OWNDAYS 環球桃園A8店,桃園市龜山區復興一路8號(桃園A8環球購物中心)
OWNDAYS 新竹巨城店,新竹市東區中央路229號 3F
OWNDAYS 遠百竹北店,新竹縣竹北市莊敬北路18號 6F
OWNDAYS 台中廣三SOGO店,台中市西區台灣大道二段459號 B1
OWNDAYS 台中大遠百店,台中市西屯區台灣大道三段251號 10F
OWNDAYS 秀泰台中站前店,台中市東區南京路66號 S2館1F
OWNDAYS 台中中友店,台中市北區三民路三段161號 A棟3F
OWNDAYS LaLaport台中店,台中市東區進德路600號 Mitsui Shopping Park LaLaport台中 3F
OWNDAYS 新光三越台中中港店,台中市西屯區台灣大道三段301號 6F
OWNDAYS 新光三越嘉義店,嘉義市西區垂楊路726號 4F
OWNDAYS 新光三越台南小西門店,台南市中西區西門路一段658-1號 1F
OWNDAYS MITSUI OUTLET PARK台南店,台南市歸仁區歸仁大道101號 3F
OWNDAYS 南紡購物中心店,台南市東區中華東路一段366號 2F
OWNDAYS 漢神巨蛋店,高雄市左營區博愛二路777號 4F
OWNDAYS 高雄三多SOGO店,高雄市前鎮區三多三路217號 2F
OWNDAYS 高雄大遠百店,高雄市苓雅區三多四路21號 3F
OWNDAYS 高雄漢神百貨店,高雄市前金區成功一路266-1號 B1
OWNDAYS 新光三越高雄左營店,高雄市左營區高鐵路123號 3F
OWNDAYS 高雄夢時代店,高雄市前鎮區中華五路789號 7F
OWNDAYS 高雄SKM Park店,高雄市前鎮區中安路1-1號 1F
OWNDAYS 高雄義享店,高雄市鼓山區大順一路115號 3F
